id,username,fullname,emails,fbPage,externalUrl,biography,followedBy,follows,isPrivate,isVerified,isBusinessAccount,businessCategory,businessEmail,businessPhone,businessAddressStreet,businessAddressZipcode,businessAddressCity,businessAddressRegion,businessAddressCountryCode,hashtags
5734709815,tasteititalian,Taste IT,,,https://m.facebook.com/TasteItitaliantakeaway/,"‼️The first independent Italian Gelateria in Greater Manchester ‼️
Stonebaked pizza 🍕 artisan gelato 🍦 baked pasta 🍝 tasty arancini.",430,146,0,0,1,Restaurants,tasteitsalford@gmail.com,441616980410,69 BLACKFRIARS ROAD,M3 7DB,City of Salford,,GB,pizzauk
3667203339,mobipizzeria,🇮🇹Mobile Wood Fired Pizza🇬🇧,,,https://www.facebook.com/mobipizzeria/,"Mobile pop-up wood fired pizza UK-wide.
We cater for weddings, corporate events, private parties, birthdays, festivals, concerts, fetes, and many more",7486,3492,0,0,1,Restaurants,info@mobipizzeria.co.uk,443300100270,,SG191RB,St Neots,,GB,pizzauk
2986836082,zialuciapizza,Zia Lucia,,,http://www.zialucia.com/,Genuine pizza serving 4 types of 48h slow risen doughs. Both Pizzerias voted Best Local Restaurant on Time-Out Awards🍕157 Holloway Rd & 61 Blythe Rd,2466,89,0,0,1,Restaurants,info@zialucia.com,442077003708,61 Blythe Road,W14 0HP,"London, United Kingdom",,GB,londonpizza
1177083393,thealma_n1,The Alma N1,,,http://www.TheAlmaPubN1.com/,"@TimeOutLondon Pub Of The Year,LGBTQ Award 🏳️‍🌈Best Late Night Local #islington #Hackney Craft 🍻Pub Food🍴Quiz🤓Live Music🎻Sport🏅DJs 🎧02072263531",6953,7492,0,0,1,Restaurants,info@thealmapubn1.com,442072263531,59 Newington Green Road,N1  4QU,"London, United Kingdom",,GB,londonpizza
1577068533,bebe_pizza,BEBE,,,,Fresh local pizza 7 days a week. 🍕🥗🍨🍷Come and meet our new chef! 🍾🍻,707,523,0,0,1,Restaurants,info@bebebebe.co.uk,442030210747,158 Sandringham Road,E8 2HS,"London, United Kingdom",,GB,londonpizza
3671449544,spaccanapolicolindale,Spaccanapoli Restaurant,,,http://www.spaccanapolilondon.co.uk/,"Bringing to London the best of Napoli 🇮🇹
Quality and authenticity using all fresh ingredients from Italy 🍝
Order now from Uber eats & Deliveroo 🛵",666,567,0,0,1,Restaurants,colindale.spaccanapoli@gmail.com,442082055514,"5, Charcot Road",NW9 5HG,"London, United Kingdom",,GB,londonpizza
4614666125,codadivolpeealing,codadivolpeealing,,,http://www.codadivolpe.london/,Italian Coda Di Volpe pizzeria serving pizza with a twist- enjoy the difference.,230,336,0,0,1,Restaurants,info@codadivolpe.london,442036092007,44 The Mall,W53TJ,"London, United Kingdom",,GB,londonpizza
2104540252,officialcafepacifico,Cafe Pacifico ⚓️,,,https://www.cafe-pacifico.com/,"The first Mexican restaurant in London
Est. 1982 🌵 🌮 🍸
Winner of #BestMargarita in #London 2017 & 2018
Use #CafePacifico for a chance to be feature",1570,1307,0,0,1,Restaurants,info@cafe-pacifico.com,442073797728,5 Langley Street,WC2H 9JA,"London, United Kingdom",,GB,londonrestaurant
1105453412,avenuestjames,Avenue Restaurant,,,https://www.avenue-restaurant.co.uk/,"Elegant modern restaurant offering..
 🍽 An American inspired menu 
 🥃 Classic cocktails
 🥞 All American Weekend Brunch
 📍Mayfair - London",4757,3709,0,0,1,Restaurants,avenuereservations@danddlondon.com,442073212111,7-9 St James's Street,SW1A 1EE,"London, United Kingdom",,GB,londonrestaurant
1482323835,cinnamonculture,Cinnamon Culture,,,http://www.cinnamonculture.com/,"Passionate about good Indian food & keen to share it with you 🍽️🍻
Check out our catering arm @saffron_culture for all your party needs.",548,311,0,0,1,Restaurants,info@cinnamonculture.com,442082890322,46 Plaistow Lane,BR1 3PA,"London, United Kingdom",,GB,londonrestaurant
